 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Jan-Mar/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;1,0;3,6;2,7;3,7;5,1;1,3;...;...;-;...;...;1,0;3,6;5,6;...;...;2,0;...;1,0;...;5,6;...;...;...;...;2,0;...;3,5
"110002 ARIQUEMES";-;...;...;0,7;4,8;3,6;4,1;4,0;1,3;-;...;7,6;7,8;...;6,3;3,0;6,0;1,7;3,0;1,6;8,3;1,6;...;4,9;2,8;...;-;...;8,5;-;4,1
"110003 CABIXI";...;...;...;1,0;4,5;9,0;3,0;5,2;2,0;...;...;...;...;...;14,0;8,0;6,0;7,3;...;2,0;...;...;...;8,4;...;...;...;...;...;...;4,8
"110004 CACOAL";...;...;...;1,2;5,2;4,9;5,1;4,9;1,8;1,0;1,0;24,0;8,0;...;9,7;4,0;4,9;2,3;2,0;2,4;8,5;2,0;2,0;8,7;4,6;...;-;...;...;30,0;4,5
"110005 CEREJEIRAS";...;...;...;1,4;4,6;2,6;4,0;3,6;1,6;...;...;69,0;...;...;...;8,2;5,1;...;...;1,2;...;6,0;...;4,3;4,5;...;...;...;...;...;4,2
"110006 COLORADO DO OESTE";...;...;...;1,0;4,9;6,4;3,8;7,4;1,5;...;...;...;...;...;3,0;4,9;3,8;2,0;...;1,4;...;...;...;24,0;0,5;...;...;...;...;20,3;4,4
"110007 CORUMBIARA";...;...;...;1,0;7,2;...;1,0;1,0;1,7;...;...;3,0;7,0;...;...;6,0;4,5;...;...;1,7;...;...;...;5,0;...;...;...;...;...;...;4,7
"110008 COSTA MARQUES";...;...;...;5,0;5,0;1,8;...;15,0;34,0;...;...;22,0;2,0;...;...;...;5,0;-;...;2,8;...;...;...;9,2;...;...;-;...;...;...;5,6
"110009 ESPIGAO D'OESTE";...;...;...;1,5;3,7;5,1;3,9;3,8;1,8;1,0;...;...;2,0;...;9,0;3,5;4,0;1,0;...;2,0;...;...;...;10,2;...;...;...;...;...;...;3,6
"110010 GUAJARA-MIRIM";...;...;...;3,0;5,8;11,5;5,3;4,5;1,4;14,5;...;13,0;2,0;...;-;6,0;5,2;10,7;...;2,5;49,5;...;...;7,3;1,0;...;-;...;...;...;5,0
"110011 JARU";-;...;...;1,0;5,0;4,0;4,1;5,2;1,4;-;2,5;20,5;2,0;1,0;1,0;4,1;6,7;1,8;...;1,9;...;...;...;4,8;3,5;...;1,0;...;...;...;4,2
"110012 JI-PARANA";...;...;...;2,6;6,3;4,5;3,9;4,4;1,9;2,4;...;7,2;6,6;10,0;7,3;3,2;5,0;2,2;...;2,5;...;...;...;4,8;1,4;...;1,0;...;25,0;3,8;5,0
"110013 MACHADINHO D'OESTE";-;...;...;3,0;4,9;9,0;2,7;2,7;1,0;2,5;...;5,0;33,0;2,0;-;2,3;5,9;2,4;1,0;1,9;2,0;...;...;2,4;2,8;...;-;...;...;...;3,9
"110014 NOVA BRASILANDIA D'OESTE";...;...;...;2,0;4,6;...;3,0;5,5;2,0;...;...;15,0;9,5;...;...;1,3;6,7;1,6;...;1,5;...;...;...;2,0;...;...;...;...;...;...;4,0
"110015 OURO PRETO DO OESTE";...;...;...;1,1;4,1;3,0;1,0;3,1;3,3;-;...;5,4;...;...;5,0;1,2;6,5;1,0;...;1,5;...;...;...;3,2;0,8;...;7,0;...;...;...;3,3
"110018 PIMENTA BUENO";...;...;...;1,7;3,5;4,3;2,0;2,7;1,3;1,3;...;12,3;-;...;8,0;8,8;3,1;2,0;...;2,0;...;8,0;...;3,5;2,0;...;...;...;...;...;3,2
"110020 PORTO VELHO";-;1,5;...;3,3;7,3;6,5;5,3;4,9;2,0;2,7;1,5;10,7;11,1;1,2;4,2;4,6;5,5;3,5;3,2;2,7;5,9;10,0;...;5,5;3,3;...;0,5;...;10,1;9,8;5,6
"110025 PRESIDENTE MEDICI";-;...;...;0,8;5,4;0,7;2,7;6,5;1,0;1,0;1,0;10,0;2,0;...;-;9,8;4,9;5,3;...;2,3;...;...;...;5,3;0,3;...;...;...;...;...;4,6
"110026 RIO CRESPO";...;...;...;1,3;6,5;1,5;...;3,5;1,0;...;...;...;1,0;...;...;2,0;10,0;-;...;5,0;...;...;...;2,0;-;...;...;...;...;...;3,6
"110028 ROLIM DE MOURA";-;2,0;...;1,1;4,4;6,0;3,2;4,5;4,0;-;...;5,0;16,4;...;...;6,2;4,5;5,4;-;2,2;27,5;...;...;6,2;1,5;...;...;...;...;14,2;4,1
"110029 SANTA LUZIA D'OESTE";-;...;...;1,0;4,8;2,3;2,0;4,6;1,0;...;...;...;10,0;...;...;...;7,0;...;...;2,1;9,0;...;...;6,0;1,0;...;...;...;...;...;4,4
"110030 VILHENA";2,0;...;...;1,7;5,6;3,8;5,2;5,3;2,1;3,0;10,0;5,5;7,0;...;1,5;3,8;5,8;2,8;...;2,0;11,3;5,0;...;5,1;2,1;...;...;...;...;...;4,4
"110032 SAO MIGUEL DO GUAPORE";...;...;...;1,3;3,3;27,3;5,5;2,7;0,9;...;...;18,0;-;...;22,0;1,1;3,4;0,7;...;1,3;...;...;...;5,1;...;...;...;...;...;...;2,8
"110033 NOVA MAMORE";...;...;...;2,3;5,2;7,0;5,0;4,9;1,2;...;...;13,7;...;...;-;7,4;5,5;1,6;...;2,3;6,0;15,0;...;8,9;0,5;...;...;...;2,0;...;4,9
"110034 ALVORADA D'OESTE";...;14,0;...;1,0;8,1;8,3;3,5;2,5;1,5;...;...;4,0;2,0;...;8,0;4,8;2,4;3,0;...;2,2;21,0;...;...;10,8;-;...;...;...;...;...;6,4
"110037 ALTO ALEGRE DOS PARECIS";...;...;...;1,0;3,9;6,3;1,8;3,3;2,0;...;...;-;...;...;...;1,7;5,0;...;...;2,3;...;...;...;2,0;...;...;...;...;...;2,0;3,5
"110040 ALTO PARAISO";...;...;...;1,5;4,4;5,0;2,3;4,5;1,2;...;...;1,3;...;...;-;-;7,1;...;...;2,9;...;...;...;6,0;1,7;...;...;...;...;1,0;4,0
"110045 BURITIS";...;...;...;1,0;5,3;3,4;2,1;3,4;1,6;1,0;...;6,5;...;...;-;0,5;5,7;4,5;5,0;2,4;5,0;...;...;3,6;2,0;...;...;...;...;5,6;4,5
"110050 NOVO HORIZONTE DO OESTE";...;...;...;5,0;4,5;...;8,0;2,0;1,0;1,0;...;...;...;...;...;6,0;6,0;2,0;...;2,8;...;-;...;2,7;...;...;...;...;...;...;4,1
"110060 CACAULANDIA";...;...;...;3,0;7,0;1,0;...;9,0;1,0;...;...;...;...;...;-;2,0;...;...;...;1,3;...;...;...;...;7,0;...;...;...;...;...;5,6
"110070 CAMPO NOVO DE RONDONIA";...;...;...;-;5,9;4,3;3,5;8,5;1,3;...;...;7,0;...;...;...;2,0;9,7;...;...;2,3;...;...;...;2,7;1,0;...;...;...;...;...;5,8
"110080 CANDEIAS DO JAMARI";4,0;...;...;6,0;8,2;4,8;7,8;5,3;2,0;...;...;1,0;...;-;1,0;3,9;6,9;1,9;-;2,2;3,0;...;...;7,6;2,0;...;...;...;11,0;...;6,1
"110090 CASTANHEIRAS";...;...;...;...;6,6;...;1,0;2,0;1,0;...;...;...;...;...;...;10,8;...;2,0;...;2,8;...;...;...;...;3,0;...;...;...;...;...;5,5
"110092 CHUPINGUAIA";-;...;...;2,0;5,9;6,3;9,0;11,0;1,7;23,5;...;...;3,3;...;...;6,8;10,9;5,0;2,0;1,6;7,0;...;...;9,8;-;...;...;...;...;29,0;7,0
"110094 CUJUBIM";...;...;...;-;1,3;...;3,8;3,7;1,2;1,0;...;...;...;...;11,5;18,0;5,3;-;...;2,0;...;...;...;4,5;0,5;...;...;...;...;...;1,9
"110100 GOVERNADOR JORGE TEIXEIRA";58,0;...;...;1,0;8,0;7,0;...;1,5;1,3;...;...;...;-;12,0;...;5,0;8,5;...;...;1,4;2,0;...;...;3,2;...;...;...;...;...;...;6,0
"110110 ITAPUA DO OESTE";...;...;...;...;3,9;4,5;2,0;7,1;2,5;1,0;...;...;2,0;...;-;2,8;4,3;1,0;...;2,1;19,0;1,0;...;1,9;1,0;...;...;...;...;...;3,9
"110120 MINISTRO ANDREAZZA";...;1,0;...;2,0;5,6;2,8;3,0;...;1,5;...;...;...;...;...;...;3,3;7,0;3,0;...;2,6;...;...;...;...;-;...;...;...;...;...;4,7
"110130 MIRANTE DA SERRA";...;...;...;5,7;6,1;...;17,0;6,3;1,3;...;...;...;...;...;...;1,3;5,2;0,7;...;1,8;...;...;...;8,7;1,0;...;-;...;...;...;5,3
"110140 MONTE NEGRO";...;...;...;-;6,5;3,8;5,4;4,1;1,2;-;...;14,0;...;8,0;2,0;5,5;5,9;-;...;1,5;...;...;...;9,3;...;...;...;...;...;...;5,8
"110143 NOVA UNIAO";...;...;...;...;3,4;...;3,0;...;1,5;-;...;...;...;...;...;1,0;2,5;1,0;...;1,4;...;...;...;2,0;...;...;...;...;...;...;3,1
"110145 PARECIS";...;...;...;1,0;6,9;6,0;...;12,0;2,0;...;...;...;5,0;...;...;...;2,5;...;...;2,0;14,0;...;...;-;...;...;...;...;...;...;1,9
"110146 PIMENTEIRAS DO OESTE";...;...;...;1,8;7,2;...;...;4,5;1,0;...;...;...;...;...;...;4,5;...;...;...;1,5;...;...;...;...;-;...;...;...;...;...;5,5
"110147 PRIMAVERA DE RONDONIA";...;...;...;...;2,9;8,0;...;1,5;...;-;...;...;...;...;...;3,0;2,0;1,0;...;1,9;...;...;...;2,0;2,0;...;...;...;...;...;2,4
"110148 SAO FELIPE D'OESTE";...;...;...;1,0;3,8;4,8;10,5;5,0;...;...;...;...;...;...;...;4,0;-;...;...;2,2;...;...;...;14,0;...;...;...;...;...;...;4,2
"110149 SAO FRANCISCO DO GUAPORE";...;...;...;2,0;4,8;7,5;6,6;2,4;2,6;1,7;...;...;22,0;...;-;7,1;4,7;1,0;...;3,8;...;1,0;...;9,8;...;...;-;...;...;...;4,6
"110150 SERINGUEIRAS";...;...;...;1,0;4,6;8,3;1,7;4,2;1,3;...;...;...;...;...;...;2,2;11,3;2,5;...;1,6;...;...;...;7,5;4,0;...;...;...;...;...;3,7
"110155 TEIXEIROPOLIS";...;...;...;...;5,4;...;...;...;...;...;...;50,0;...;...;...;...;...;1,0;...;1,5;...;...;...;...;...;...;...;...;...;...;5,7
"110160 THEOBROMA";...;...;...;7,0;8,0;8,3;4,0;18,9;1,8;-;...;...;2,0;...;...;2,5;7,0;1,5;...;3,0;...;...;...;4,6;...;...;...;...;...;...;7,1
"110170 URUPA";...;...;...;0,7;4,2;3,0;4,2;6,0;1,0;...;...;...;...;...;12,0;4,2;5,3;1,4;...;3,6;...;...;...;3,0;...;...;...;...;...;...;3,9
"110175 VALE DO ANARI";...;...;...;...;6,2;4,0;...;2,6;1,2;...;...;...;...;3,0;0,3;2,0;5,3;...;...;2,0;4,0;14,5;...;3,5;2,5;...;...;...;...;...;4,2
"110180 VALE DO PARAISO";...;...;...;8,0;6,2;4,0;...;4,3;...;...;...;...;11,0;...;...;5,2;14,5;0,5;...;1,7;...;3,0;...;...;3,5;...;...;...;...;...;6,1
"120001 ACRELANDIA";...;...;...;0,8;7,8;2,0;4,8;8,5;2,1;-;...;...;...;...;-;6,0;5,7;...;...;2,3;...;...;...;11,5;3,0;...;...;...;1,0;...;4,6
"120005 ASSIS BRASIL";-;...;...;2,4;4,9;4,0;...;8,3;1,5;...;...;12,0;...;...;...;6,8;4,2;13,0;...;2,6;...;...;...;1,5;...;...;...;...;...;...;3,9
"120010 BRASILEIA";...;...;...;2,3;5,0;3,9;6,9;6,6;1,4;1,0;3,0;11,0;...;...;8,8;4,4;5,1;1,6;...;2,5;...;1,0;...;12,0;20,5;...;...;...;...;...;4,0
"120013 BUJARI";1,0;...;...;1,0;15,9;6,5;2,0;17,0;1,3;...;...;8,0;...;...;...;3,0;7,2;3,5;3,0;2,4;...;...;...;...;...;...;...;...;...;...;8,1
"120017 CAPIXABA";...;...;...;1,2;7,4;6,7;...;8,0;2,4;1,0;...;3,0;...;...;...;3,2;2,4;1,0;1,0;3,2;...;...;...;1,0;6,0;...;...;...;...;...;4,3
"120020 CRUZEIRO DO SUL";-;...;...;1,6;5,7;8,7;7,0;6,7;1,6;2,3;...;4,9;3,0;1,3;6,4;4,2;2,3;6,2;7,0;2,6;8,3;3,5;...;6,7;...;...;...;...;27,0;...;4,4
"120025 EPITACIOLANDIA";...;...;...;1,9;4,1;4,9;4,0;16,3;1,7;...;...;...;...;...;1,0;6,1;4,0;1,0;...;2,3;...;5,0;...;37,0;4,5;...;...;...;...;...;3,9
"120030 FEIJO";...;...;...;2,0;6,0;2,0;8,0;3,2;1,5;...;2,0;8,0;1,0;...;4,0;5,0;7,2;4,0;...;2,3;...;...;...;5,4;...;...;...;...;...;-;3,7
"120032 JORDAO";...;...;...;...;11,0;8,8;3,5;...;1,2;...;...;...;...;...;...;...;7,0;...;...;2,7;...;...;...;...;...;...;...;...;...;...;5,2
"120033 MANCIO LIMA";...;...;...;1,8;7,3;3,3;6,0;5,5;1,6;...;2,0;7,0;...;8,0;...;3,4;1,7;7,5;3,0;2,3;...;...;...;6,0;7,0;...;...;...;...;...;4,5
"120034 MANOEL URBANO";...;...;...;1,0;6,3;5,0;5,0;8,7;1,3;...;...;...;...;...;...;2,3;1,8;-;...;2,3;...;...;...;...;...;...;...;...;...;-;4,4
"120035 MARECHAL THAUMATURGO";...;...;...;1,7;5,1;6,0;...;7,7;1,5;...;...;...;2,0;...;-;2,0;2,9;...;...;2,7;12,0;...;...;12,5;-;...;...;...;...;-;3,1
"120038 PLACIDO DE CASTRO";...;...;...;0,7;6,7;2,6;3,5;6,4;2,1;...;...;1,0;...;...;8,0;7,0;10,4;13,0;...;3,0;...;...;...;23,8;...;...;...;...;...;...;5,9
"120039 PORTO WALTER";...;...;...;3,2;6,3;...;...;6,5;1,5;...;...;...;5,0;...;...;3,5;2,1;1,7;1,0;2,7;...;...;...;6,0;...;...;...;...;...;...;3,6
"120040 RIO BRANCO";4,1;...;...;1,2;11,2;7,9;6,1;8,7;2,1;1,5;1,3;10,5;3,4;1,0;5,8;3,3;4,3;2,6;1,6;2,9;9,2;1,5;1,0;7,3;9,0;...;-;...;22,5;10,1;6,3
"120042 RODRIGUES ALVES";...;...;...;2,5;5,9;10,0;...;7,3;1,8;...;...;...;...;...;2,0;2,3;1,1;2,0;11,0;3,6;...;...;...;3,0;...;...;...;...;...;...;4,2
"120043 SANTA ROSA DO PURUS";...;...;...;1,6;8,1;11,0;...;2,0;1,3;...;...;...;...;...;...;...;11,5;...;...;2,3;...;...;...;...;...;...;...;...;...;...;5,1
"120045 SENADOR GUIOMARD";1,0;...;...;1,0;7,2;5,0;4,0;6,1;1,9;...;1,0;...;...;...;7,0;3,2;3,1;2,5;...;2,7;1,0;...;...;16,0;22,0;...;...;...;...;...;4,9
"120050 SENA MADUREIRA";-;...;...;1,3;6,1;8,2;6,9;6,8;1,7;3,3;...;6,0;1,5;...;10,0;3,8;3,6;2,0;2,0;2,3;...;1,0;...;13,2;3,0;...;...;...;...;...;4,4
"120060 TARAUACA";13,8;...;...;1,7;6,3;6,0;9,0;7,5;1,1;5,0;...;8,7;17,0;7,0;...;6,2;4,2;1,3;...;2,7;8,3;6,8;...;5,1;4,5;...;-;...;25,0;21,7;3,5
"120070 XAPURI";13,5;...;...;2,0;4,5;2,0;3,9;12,8;1,3;...;...;5,0;...;...;...;5,8;1,7;2,0;...;2,5;8,0;...;...;...;...;...;...;...;1,0;21,0;4,1
"120080 PORTO ACRE";1,0;...;...;1,0;7,9;4,5;5,0;14,0;2,6;1,0;2,0;...;48,0;...;...;1,6;8,2;1,2;...;3,3;1,0;1,0;...;6,3;-;...;...;...;...;...;5,0
"130002 ALVARAES";...;...;...;3,5;5,6;...;2,8;4,2;2,0;...;...;...;...;...;...;3,2;2,5;3,0;...;2,0;...;...;...;...;...;...;...;...;-;...;4,6
"130006 AMATURA";...;...;...;2,0;3,7;...;5,0;2,5;1,2;...;...;...;...;...;...;6,0;1,0;...;...;1,5;...;...;...;...;...;...;...;...;...;...;3,1
"130008 ANAMA";...;...;...;...;8,2;...;...;...;1,8;...;...;...;...;...;...;...;...;...;...;2,2;...;...;...;2,0;...;...;...;...;...;...;5,2
"130010 ANORI";...;...;...;2,5;4,4;...;2,5;4,0;2,1;...;...;...;2,0;...;...;4,3;4,0;...;...;3,0;...;29,0;...;8,0;...;...;...;...;...;...;4,0
"130014 APUI";...;...;...;...;6,5;3,0;3,0;3,7;1,4;1,0;...;...;...;...;11,0;5,0;4,6;2,4;...;2,6;...;5,3;...;6,0;1,0;...;...;...;...;...;4,5
"130020 ATALAIA DO NORTE";...;...;...;...;5,5;...;...;5,0;1,1;...;...;...;...;...;...;4,0;1,5;2,0;...;2,7;...;...;...;...;...;...;...;...;...;...;4,2
"130030 AUTAZES";...;...;...;1,3;5,4;...;2,8;4,0;1,3;...;4,0;...;...;...;-;2,5;6,3;10,0;...;2,0;8,5;5,0;...;4,0;2,0;...;...;...;...;...;3,9
"130040 BARCELOS";...;...;...;...;7,7;...;...;29,0;1,9;...;...;...;...;...;-;3,1;26,0;...;...;1,9;...;...;...;...;...;...;...;...;...;...;5,9
"130050 BARREIRINHA";...;...;...;12,0;6,4;...;2,6;4,5;1,6;...;...;...;...;...;...;4,2;3,4;3,0;1,0;2,3;8,0;7,0;...;15,0;25,0;...;...;...;...;...;4,4
"130060 BENJAMIN CONSTANT";...;...;...;...;5,4;3,6;5,7;4,5;2,0;...;...;...;...;...;13,0;6,1;3,4;2,0;...;2,9;...;...;...;...;3,0;...;...;...;...;...;4,2
"130063 BERURI";...;...;...;-;5,7;...;2,0;4,8;2,0;...;...;...;...;...;...;3,7;3,0;...;...;2,8;...;...;...;1,0;...;...;...;...;...;...;4,0
"130068 BOA VISTA DO RAMOS";...;...;...;...;3,6;2,0;3,0;3,0;2,2;...;...;...;...;...;...;2,5;4,0;3,0;...;2,8;...;...;...;...;5,0;...;...;...;...;...;3,2
"130070 BOCA DO ACRE";...;...;...;0,8;4,7;5,6;3,0;5,7;2,0;-;...;1,3;...;...;-;7,0;3,0;2,9;6,0;2,3;...;...;...;3,5;4,7;...;...;...;1,0;...;3,6
"130080 BORBA";...;...;...;1,0;4,3;16,5;3,1;4,0;1,7;2,0;...;...;...;...;...;2,3;4,0;2,0;...;2,6;...;...;...;6,0;4,0;...;...;...;...;...;3,6
"130083 CAAPIRANGA";...;...;...;1,0;3,8;3,0;2,3;3,0;1,6;...;...;-;...;...;...;5,8;76,6;1,5;1,0;2,8;...;4,0;...;19,0;...;...;...;...;7,0;...;5,3
"130090 CANUTAMA";...;...;...;5,0;4,1;...;1,3;2,9;2,1;...;...;...;...;...;...;2,0;5,0;3,0;...;2,0;...;...;...;18,5;...;...;...;...;...;...;3,9
"130100 CARAUARI";...;...;...;2,0;5,9;5,5;2,0;5,2;1,3;...;...;...;...;1,0;4,0;2,1;7,9;1,1;1,0;2,2;6,0;4,0;...;7,7;...;...;...;...;...;...;3,0
"130110 CAREIRO";...;...;...;6,0;4,9;7,0;...;9,1;1,3;...;...;...;...;1,0;8,3;4,4;6,0;1,1;...;1,8;12,0;...;...;16,0;...;...;...;...;...;...;4,2
"130115 CAREIRO DA VARZEA";...;...;...;1,0;7,9;4,0;8,0;4,0;4,8;...;...;...;-;...;10,0;2,3;6,8;...;...;2,8;...;7,5;...;...;...;...;...;...;...;...;6,5
"130120 COARI";...;...;...;1,0;6,3;1,3;4,4;3,1;1,6;...;...;...;30,0;...;8,5;3,0;2,9;1,7;...;2,7;4,0;4,7;...;...;4,0;...;...;...;...;...;4,1
"130130 CODAJAS";...;...;...;-;4,0;4,5;4,5;3,7;2,5;...;...;...;...;...;1,5;4,7;2,7;3,0;...;2,2;...;14,0;...;10,0;6,0;...;...;...;...;...;3,9
"130140 EIRUNEPE";...;...;...;4,8;4,9;4,0;3,0;3,4;1,3;...;...;...;...;...;10,0;3,4;7,0;2,2;...;4,3;...;7,0;...;...;...;...;...;...;...;...;3,7
"130150 ENVIRA";...;...;...;...;2,5;29,0;2,0;3,2;2,0;...;...;...;...;...;...;2,0;17,0;...;3,0;2,0;...;...;...;...;...;...;...;...;...;...;2,8
"130160 FONTE BOA";...;...;...;...;4,5;5,0;2,5;7,0;1,3;1,0;...;...;14,0;...;...;3,5;5,0;1,8;...;2,6;...;...;...;10,5;...;...;...;...;...;...;3,3
"130165 GUAJARA";...;...;...;1,5;4,6;6,0;3,5;3,9;1,5;...;...;22,0;1,5;...;...;5,3;1,7;2,0;13,0;2,6;...;1,0;...;3,0;...;...;...;...;...;...;3,9
"130170 HUMAITA";...;...;...;...;7,0;23,0;2,0;3,6;2,4;-;...;6,7;60,0;...;...;4,9;4,9;2,3;...;2,1;...;...;...;4,6;1,5;...;-;...;...;...;4,8
"130180 IPIXUNA";...;...;...;3,0;4,2;5,0;2,0;3,0;1,1;1,0;...;...;...;...;...;3,7;5,0;2,3;1,0;2,1;11,0;...;...;2,8;...;...;...;...;...;...;3,3
"130185 IRANDUBA";...;...;...;0,9;7,1;4,7;1,5;4,3;2,9;...;...;1,0;...;0,5;6,3;3,9;5,8;1,0;...;3,5;6,0;6,8;...;8,5;4,7;...;...;...;...;...;5,8
"130190 ITACOATIARA";...;...;...;1,0;7,4;5,6;1,8;5,7;1,6;17,5;2,0;31,0;1,2;1,0;2,4;3,2;4,8;0,5;...;2,1;13,5;19,0;1,0;5,2;3,5;...;...;...;...;...;5,1
"130195 ITAMARATI";...;...;...;...;...;4,0;...;...;3,0;...;...;...;...;...;...;...;...;...;...;2,0;...;...;...;1,0;...;...;...;...;...;...;3,1
"130200 ITAPIRANGA";...;...;...;1,0;6,3;8,3;2,0;2,5;1,2;...;2,0;...;...;...;...;7,5;9,0;2,0;...;2,3;...;...;...;4,0;...;...;...;...;...;...;4,9
"130210 JAPURA";...;...;...;...;3,5;...;6,0;2,5;1,2;...;...;...;...;...;...;...;5,6;1,0;...;3,2;...;...;...;...;...;...;...;...;...;...;3,1
"130220 JURUA";...;...;...;2,0;11,5;...;...;...;...;...;...;...;5,0;...;...;...;...;8,0;...;...;...;...;...;...;...;...;...;...;...;...;8,7
"130230 JUTAI";...;...;...;...;3,3;...;1,8;2,3;1,0;1,0;...;...;...;...;...;1,7;3,0;1,4;...;1,7;...;22,0;...;3,0;...;...;...;...;...;...;2,2
"130240 LABREA";...;...;...;2,5;4,8;5,1;2,4;4,4;2,0;-;...;...;...;...;...;3,2;2,8;2,1;...;2,0;6,0;5,0;...;5,0;...;...;...;...;...;...;3,5
"130250 MANACAPURU";...;...;...;1,9;5,7;11,0;3,8;4,9;1,8;...;...;2,0;...;-;9,0;2,8;5,3;2,1;...;2,5;3,0;29,0;...;7,8;9,0;...;...;...;...;...;4,3
"130255 MANAQUIRI";...;...;...;3,0;7,2;...;1,0;2,0;1,9;...;...;...;...;...;10,5;2,0;1,0;...;...;...;...;19,0;...;...;...;...;...;...;...;1,0;6,4
"130260 MANAUS";5,5;4,0;3,7;2,0;8,6;8,5;4,4;4,8;3,1;5,0;2,4;9,7;7,6;0,6;5,2;4,3;7,5;3,7;3,2;4,2;8,1;8,2;1,4;8,6;5,4;3,0;1,3;...;11,2;8,3;6,7
"130270 MANICORE";...;...;...;...;4,8;9,1;10,4;3,4;1,4;1,0;...;-;...;...;2,0;2,7;3,6;4,4;2,0;1,9;3,5;4,5;...;8,3;...;...;...;...;...;...;3,4
"130280 MARAA";...;...;...;...;7,8;6,0;...;11,0;1,9;...;...;...;...;...;...;6,0;5,0;...;...;2,0;...;...;...;...;3,0;...;...;...;...;...;6,1
"130290 MAUES";...;...;...;9,0;5,3;2,0;2,7;3,7;1,3;0,2;...;...;1,0;...;...;2,0;6,4;1,5;...;1,9;7,6;...;...;...;...;...;...;...;...;...;3,5
"130300 NHAMUNDA";...;...;...;...;5,8;...;7,0;2,8;1,2;...;...;...;...;...;...;4,3;5,0;1,0;...;2,5;...;...;...;9,0;4,0;...;...;...;...;...;4,5
"130310 NOVA OLINDA DO NORTE";...;...;...;2,0;5,0;...;2,0;4,9;2,6;...;...;...;...;...;...;5,8;-;4,0;...;2,1;4,0;...;...;11,0;...;...;...;...;...;...;4,2
"130320 NOVO AIRAO";...;...;...;1,0;5,3;2,0;1,0;1,5;1,8;4,2;...;...;...;...;2,0;5,3;4,5;2,6;...;2,6;...;2,0;...;2,0;...;...;...;...;...;...;4,0
"130330 NOVO ARIPUANA";...;...;...;-;6,3;...;-;...;2,5;...;...;...;...;...;...;18,0;7,0;...;...;3,0;...;...;...;14,3;...;...;...;...;...;...;6,3
"130340 PARINTINS";...;11,7;...;1,2;7,0;7,8;6,0;4,8;1,6;3,0;...;12,3;18,0;1,0;4,5;4,0;4,5;2,3;1,5;3,1;5,3;10,0;...;11,2;7,0;...;...;...;...;...;5,7
"130350 PAUINI";...;...;...;1,0;6,1;4,2;...;3,8;2,0;...;...;1,0;...;...;1,0;4,3;3,0;...;...;3,0;...;...;...;...;...;...;...;...;...;...;4,6
"130353 PRESIDENTE FIGUEIREDO";...;...;...;...;5,5;...;4,7;4,7;1,7;...;...;...;...;...;5,0;2,9;4,1;2,2;...;2,7;7,0;7,0;...;6,8;13,0;...;...;...;...;...;4,7
"130356 RIO PRETO DA EVA";...;...;...;-;7,4;15,0;7,7;7,3;1,9;...;...;-;4,5;...;4,0;6,1;4,4;4,5;...;2,9;...;10,8;...;7,2;2,0;...;...;...;...;...;6,1
"130360 SANTA ISABEL DO RIO NEGRO";...;...;...;...;16,9;...;...;...;5,0;...;...;...;...;...;...;7,0;5,5;...;...;3,0;7,0;...;...;...;...;...;...;...;...;...;11,3
"130370 SANTO ANTONIO DO ICA";...;...;...;2,2;3,8;5,5;2,3;2,9;1,4;...;...;...;...;...;...;5,0;14,0;6,0;...;2,7;...;4,0;...;...;2,0;...;...;...;...;...;2,9
"130380 SAO GABRIEL DA CACHOEIRA";...;...;...;5,0;6,4;5,8;14,7;4,6;1,9;...;...;31,0;1,0;...;17,5;4,8;6,8;1,0;...;2,6;16,0;13,0;...;8,0;...;...;...;...;...;...;4,7
"130390 SAO PAULO DE OLIVENCA";...;...;...;...;4,9;...;1,0;4,5;1,1;37,0;...;...;...;...;...;2,6;7,3;1,4;...;1,2;23,0;13,5;...;5,0;...;...;...;...;...;...;4,0
